delta,expected,baseline,rir
-5.0,-4.7856189052943146,-0.12032315880060196,-4.625791549682617
-4.0,-3.8284951242354515,-0.10147060453891754,-3.707486391067505
-3.0,-2.8713713431765884,-0.07972875982522964,-2.7094566822052
-2.0,-1.9142475621177257,-0.0551491305232048,-1.6711169481277466
-1.0,-0.9571237810588629,-0.028165647760033607,-0.7041012048721313
-0.5,-0.47856189052943143,-0.014117412269115448,-0.31515568494796753
0.5,0.47856189052943143,0.013910484500229359,0.31396570801734924
1.0,0.9571237810588629,0.02736819162964821,0.697197437286377
2.0,1.9142475621177257,0.052236489951610565,1.636989951133728
3.0,2.8713713431765884,0.07383161038160324,2.641101121902466
4.0,3.8284951242354515,0.09206017851829529,3.6053926944732666
5.0,4.7856189052943146,0.10715043544769287,4.492312908172607
