mechanism,variant,seed,target_mse,target_mae,expected_h1,pred_h1,h1_ire,h1_slope,last_dist_false,target_zero,curve_slope,curve_ire,curve_ratio,path
linear_multi_lag,baseline,20260503,0.31318700313568115,0.44396495819091797,3.2981061935424805,0.14748205244541168,3.222635269165039,0.022883044555783272,0.08247938752174377,0.7831205725669861,0.03334084370964709,1.6415362656116486,0.0424193316871301,Causal-R1\results\duet_v3_mechanism_family_20260504\linear_multi_lag_baseline_seed20260503
linear_multi_lag,baseline,20260504,0.31880056858062744,0.4536071717739105,3.2981061935424805,0.11417289078235626,3.2428441047668457,0.016755593940615654,0.07976653426885605,0.7728493213653564,0.02496917389415851,1.6562619358301163,0.03363940457160035,Causal-R1\results\duet_v3_mechanism_family_20260504\linear_multi_lag_baseline_seed20260504
linear_multi_lag,baseline,20260505,0.3146343231201172,0.44472259283065796,3.2981061935424805,0.17879773676395416,3.216872215270996,0.024630365893244743,0.06639470905065536,0.7192038297653198,0.03072531118139613,1.6475583761930466,0.037526064542725786,Causal-R1\results\duet_v3_mechanism_family_20260504\linear_multi_lag_baseline_seed20260505
linear_multi_lag,rir,20260503,0.31869983673095703,0.4502599537372589,3.2981061935424805,2.8050925731658936,0.49883100390434265,0.8500290513038635,0.042823851108551025,0.29418009519577026,0.9105465540763865,0.1707209569091598,0.909337761183939,Causal-R1\results\duet_v3_mechanism_family_20260504\linear_multi_lag_rir_seed20260503
linear_multi_lag,rir,20260504,0.32557377219200134,0.4486153721809387,3.2981061935424805,2.664727210998535,0.6366882920265198,0.8071684837341309,0.09669360518455505,0.3073696792125702,0.8932272410717685,0.17594617356856665,0.9097894296910323,Causal-R1\results\duet_v3_mechanism_family_20260504\linear_multi_lag_rir_seed20260504
linear_multi_lag,rir,20260505,0.33243510127067566,0.4561085104942322,3.2981061935424805,2.8468592166900635,0.4649810194969177,0.8620085120201111,0.04117310792207718,0.3329467475414276,0.93164170500621,0.1641383320093155,0.8965399011480719,Causal-R1\results\duet_v3_mechanism_family_20260504\linear_multi_lag_rir_seed20260505
nonlinear_sin,baseline,20260503,0.2890726327896118,0.4319043457508087,1.7431809902191162,0.08168621361255646,1.7382383346557617,0.0036105092149227858,0.050914470106363297,0.7960323095321655,0.03975557250332813,1.3018430570761363,-0.03177293997076278,Causal-R1\results\duet_v3_mechanism_family_20260504\nonlinear_sin_baseline_seed20260503
nonlinear_sin,baseline,20260504,0.287305623292923,0.43279749155044556,1.7431809902191162,0.10317697376012802,1.7036477327346802,0.02155323140323162,0.03815857321023941,0.7572168707847595,0.044103995218847385,1.2901271382967632,-0.043958898946251504,Causal-R1\results\duet_v3_mechanism_family_20260504\nonlinear_sin_baseline_seed20260504
nonlinear_sin,baseline,20260505,0.34877675771713257,0.46476826071739197,1.7431809902191162,0.08064727485179901,1.7213397026062012,0.011736636981368065,0.10304493457078934,0.7779313921928406,0.02689538739660121,1.3058195436994235,-0.036043406644193636,Causal-R1\results\duet_v3_mechanism_family_20260504\nonlinear_sin_baseline_seed20260505
nonlinear_sin,rir,20260503,0.32258492708206177,0.457438588142395,1.7431809902191162,1.5379080772399902,0.6530014276504517,0.8232260346412659,0.15251311659812927,0.5620592832565308,0.9272714172605541,0.2995714033022523,0.5129948393125985,Causal-R1\results\duet_v3_mechanism_family_20260504\nonlinear_sin_rir_seed20260503
nonlinear_sin,rir,20260504,0.4021271765232086,0.5041173100471497,1.7431809902191162,1.5937310457229614,0.5611476898193359,0.8712605237960815,0.18696698546409607,0.5299387574195862,0.9206229349734739,0.32409809281428653,0.528849744066508,Causal-R1\results\duet_v3_mechanism_family_20260504\nonlinear_sin_rir_seed20260504
nonlinear_sin,rir,20260505,0.2865683436393738,0.4260978400707245,1.7431809902191162,1.7038562297821045,0.6140092015266418,0.8903017640113831,0.15305931866168976,0.4400702118873596,0.8785295088620728,0.3179057314991951,0.40642725628351867,Causal-R1\results\duet_v3_mechanism_family_20260504\nonlinear_sin_rir_seed20260505
